query_id	query_text
q01	ambient PM2.5 exposure cognitive decline elderly
q02	PM2.5 long-term exposure dementia incidence
q03	air pollution Alzheimer disease risk meta-analysis
q04	traffic-related air pollution cognitive function older adults
q05	ambient particulate matter neurodegenerative disease
q06	PM10 cognitive impairment population-based cohort
q07	black carbon cognitive aging
q08	air pollution white matter hyperintensity MRI
q09	wildfire smoke cognitive performance
q10	indoor air pollution cognitive function low-income countries
q11	NO2 nitrogen oxide cognitive decline elderly cohort
q12	ambient ozone cognitive function aging
q13	ultrafine particles brain MRI older adults
q14	air pollution mild cognitive impairment progression
q15	traffic noise cognitive function dementia
q16	PM2.5 hippocampal volume MRI cohort
q17	air pollution executive function processing speed
q18	Cohen's d effect sizes PM2.5 cognition meta-analysis
q19	PM2.5/PM10 cardiovascular cognitive outcomes
q20	NO2 (nitrogen dioxide) dementia risk
q21	β-amyloid PM exposure cognitive decline
q22	air pollution meta-analysis: pooled HR cognitive
q23	PM2.5 exposure cognitive decline rural Mongolia 2023
q24	ambient PM nuclear receptor RXR cognitive trajectory pediatric Iceland
q25	ozone exposure dementia incidence Faroe Islands prospective
