display_label,mailbox_hint,directory_hint,status
prod_admin,prod_admin recent sender,prod_admin owner candidate,needs comparison
payments-core,payments-core recent sender,payments-core owner candidate,needs comparison
billing-ledger/main,billing-ledger/main recent sender,billing-ledger/main owner candidate,needs comparison
crash dump,crash dump recent sender,crash dump owner candidate,needs comparison
Evergreen SRE,Evergreen SRE recent sender,Evergreen SRE owner candidate,needs comparison
protected branch,protected branch recent sender,protected branch owner candidate,needs comparison
atlas-ui,atlas-ui recent sender,atlas-ui owner candidate,needs comparison
docs-preview,docs-preview recent sender,docs-preview owner candidate,needs comparison
log-formatter-preview,log-formatter-preview recent sender,log-formatter-preview owner candidate,needs comparison
sandbox,sandbox recent sender,sandbox owner candidate,needs comparison
