file_path,source_type,date_collected,collected_by,origin
official_records/official_program_update_2026_05_18.md,internal status update,2026-05-21,k.green,program office distro list
official_records/procurement_amendment_notice_2026_05_17.md,signed contract amendment,2026-05-21,k.green,procurement portal
official_records/steering_committee_minutes_2026_05_20.md,approved meeting minutes,2026-05-21,k.green,committee clerk email
official_records/privacy_office_addendum_progress_memo_2026_05_19.md,privacy office memo,2026-05-21,k.green,privacy office distro
official_records/grant_compliance_reminder_2026_05_15.md,grants compliance reminder,2026-05-21,k.green,grants office portal
official_records/analyst_status_assessment.md,internal strategy working draft,2026-05-22,j.hwang,strategy team scratch folder
open_web_clippings/cityledger_2026_05_19.md,local news article,2026-05-21,k.green,cityledger.org
open_web_clippings/community_forum_thread_export.md,public forum thread,2026-05-21,k.green,forum.example/civicatlas-talk
open_web_clippings/civic_tech_blog_post_2026_05_22.md,opinion blog post,2026-05-23,k.green,civictechwatch.example
open_web_clippings/x_thread_export_2026_05_18.md,social media thread,2026-05-21,k.green,X export via observer tool
open_web_clippings/vendor_newsletter_2026_05_15.md,vendor newsletter,2026-05-21,k.green,vendor mailing list
open_web_clippings/council_member_open_letter_2026_05_21.md,councilmember public statement,2026-05-22,k.green,councilmember website
open_web_clippings/media_monitoring_weekly_2026_05_22.md,internal media monitoring report,2026-05-23,k.green,communications team intake
open_web_clippings/sister_city_civic_compass_obituary_2026_04_30.md,sister-city civic tech article,2026-05-22,k.green,civictechwatch.example
drafts/unused_cancellation_faq_draft_2026_04_09.md,communications draft,2026-05-21,k.green,comms shared folder
drafts/launch_press_release_draft_2026_05_25.md,communications draft,2026-05-25,k.green,comms intern handoff
drafts/budget_descope_memo_draft_2026_05_11.md,budget office pre-decisional draft,2026-05-22,k.green,budget office shared drive
internal_correspondence/staff_chat_excerpt.md,internal chat excerpt,2026-05-21,k.green,#civic-data-pilot channel
internal_correspondence/forwarded_email_staffer_summary.md,forwarded email with personal slant,2026-05-22,k.green,internal mail export
internal_correspondence/vendor_standup_notes_2026_05_19.md,vendor team standup notes,2026-05-22,k.green,vendor pm shared with city
internal_correspondence/it_ticket_dashboard_unrelated_2026_05_14.md,IT helpdesk ticket,2026-05-21,k.green,servicedesk export
