queue_id,system,signal,updated_by,confidence,comment
Q57-1-1,client_instruction_log,signal-1,mobile,medium,"context fragment; not a standalone decision"
Q57-1-2,opposing_counsel_mail,signal-2,mobile,low,"context fragment; not a standalone decision"
Q57-1-3,outside_counsel_conflicts,signal-3,mailbox,ambiguous,"context fragment; not a standalone decision"
Q57-1-4,outside_counsel_conflicts,signal-4,mailbox,ambiguous,"context fragment; not a standalone decision"
Q57-1-5,client_instruction_log,signal-5,calendar,high-but-stale,"context fragment; not a standalone decision"
Q57-1-6,signature_authority_context,signal-6,mailbox,ambiguous,"context fragment; not a standalone decision"
Q57-1-7,signature_authority_context,signal-7,mailbox,medium,"context fragment; not a standalone decision"
Q57-1-8,signature_authority_context,signal-8,calendar,high-but-stale,"context fragment; not a standalone decision"
Q57-1-9,signature_authority_context,signal-9,mailbox,low,"context fragment; not a standalone decision"
Q57-1-10,client_instruction_log,signal-10,runner,ambiguous,"context fragment; not a standalone decision"
Q57-1-11,opposing_counsel_mail,signal-11,desk,ambiguous,"context fragment; not a standalone decision"
Q57-1-12,court_runner_fragments,signal-12,calendar,low,"context fragment; not a standalone decision"
Q57-1-13,court_runner_fragments,signal-13,runner,low,"context fragment; not a standalone decision"
Q57-1-14,client_instruction_log,signal-14,desk,low,"context fragment; not a standalone decision"
Q57-1-15,court_runner_fragments,signal-15,desk,high-but-stale,"context fragment; not a standalone decision"
Q57-1-16,client_instruction_log,signal-16,mailbox,low,"context fragment; not a standalone decision"
Q57-1-17,client_instruction_log,signal-17,runner,low,"context fragment; not a standalone decision"
