shard_id,cohort,year,modality,split,purpose,outcome_window_hours,logical_size_mb,compressed_size_mb,status,required_for,registry_batch,freshness,lineage_tag,notes
icuA_2025_tabular_train,A,2025,tabular,train,analysis,48,420,38,active,table2_atomic,2025Q4_reorg,current,prod_atomic,Atomic split shard; use with labels and schema for Table 2 counts.
icuA_2025_tabular_valid,A,2025,tabular,valid,analysis,48,110,11,active,table2_atomic,2025Q4_reorg,current,prod_atomic,Atomic validation shard for the 48-hour Table 2 denominator.
icuA_2025_tabular_test,A,2025,tabular,test,analysis,48,130,13,active,table2_atomic,2025Q4_reorg,current,prod_atomic,Atomic heldout shard for the 48-hour Table 2 denominator.
icuA_2025_labels,A,2025,labels,all,analysis,48,35,4,active,table2_atomic,2025Q4_reorg,current,prod_atomic,Current 48-hour labels aligned to the three atomic tabular splits.
icuA_2025_schema,A,2025,metadata,all,analysis,48,2,1,active,table2_atomic,2025Q4_reorg,current,prod_atomic,"Current schema, denominator, and split rules for Table 2."
icuA_2025_table2_expected_ids,A,2025,metadata,all,reference,48,8,1,active,table2_optional,2025Q4_reorg,current,prod_reference,Optional row-id reference for reviewer cross-checks; not required for count reproduction.
icuA_2025_table2_repro_pack,A,2025,bundle,all,analysis,48,1480,145,active,table2_candidate,2025Q2_pre_reorg,stale,pre_reorg_bundle,Convenience bundle from pre-reorg draft. Contains old split map; registry notes say not authoritative for Reviewer 3.
icuA_2025_tabular_all_splits_full,A,2025,tabular,all,analysis,48,1850,170,active,table2_candidate,2025Q3_migration,stale,migration_full_export,All-splits full tabular export retained for migration QA; includes calibration/external rows outside Table 2.
icuA_2025_denominator_rebuild_pack,A,2025,bundle,all,audit,48,2400,220,active,table2_audit,2025Q4_reorg,current,audit_rebuild,Audit rebuild pack; useful only if the atomic compute fails or a denominator discrepancy is found.
icuA_2025_48h_all_modalities_pack,A,2025,bundle,all,analysis,48,33700,3100,active,table2_candidate,2025Q4_reorg,current,broad_response_pack,"Contains tabular, notes, waveform, and imaging material; not needed for tabular Table 2 counts."
all_cohorts_2025_table2_pack,all,2025,bundle,all,analysis,48,6100,560,active,table2_candidate,2025Q4_reorg,current,broad_response_pack,Reviewer-response bundle across cohorts A-D; target request is Cohort A only.
icuA_all_years_table2_history_pack,A,all,bundle,all,archive,48,4500,410,active,table2_history,2025Q4_reorg,historical,historical_pack,Historical all-year bundle for trend appendix; not current-year Table 2 evidence.
warehouse_cache_icuA_2025_table2_latest,A,2025,cache,all,cache,48,920,88,active,table2_candidate,warehouse_cache,ambiguous,cache,Warehouse cache labeled latest; registry notes warn it may lag atomic shards by one release.
