path,title,doc_family,declared_version,declared_status,custodian,received_date,hash_hint,notes
outside_counsel/closing_set/Data_Processing_Addendum_executed_2024-11-18.txt,Data Processing Addendum,DPA,2024-11-18,executed_final,outside_counsel,2025-05-21,cf3a5cb2f16e5895,intake row
vendor_room/roadmap/checklist_223.txt,Checklist 223,PROCUREMENT,2025-05,archive,paralegal,2025-05-23,,bulk export
outside_counsel/duplicate_uploads/renewal_copy_03_2025-05-09.txt,Renewal Amendment copy,RENEWAL,2025-05-09,final_candidate,paralegal,2025-05-22,5b6e23d9d600eef1,duplicate-looking intake item
data_room/admin/template_272.txt,Template 272,PROJECT,2025-05,archive,vendor_room,2025-05-23,3c686bbb7462fc15,bulk export
project_docs/old_checklists/upload_receipt_082.txt,Upload Receipt 082,PROCUREMENT,2025-05,archive,paralegal,2025-05-18,,bulk export
security/questionnaires/meeting_minutes_172.txt,Meeting Minutes 172,PROJECT,2025-02,archive,finance,2025-05-19,,bulk export
drafts/dpa_72_hour_notice_draft_2024-09-28.txt,Data Processing Addendum,DPA,2024-11-18,received,email,2025-05-20,23412bd56c4b0b4a,requires legal review
finance/invoices/roadmap_242.txt,Roadmap 242,MISC,2025-03,working_copy,vendor_room,2025-05-21,79635a28f2f7f0b6,bulk export
vendor_room/roadmap/roadmap_161.txt,Roadmap 161,FINANCE,2025-04,received,project_team,2025-05-20,5c9c1ffc04658e71,bulk export
amendments/2025-05-09_Renewal_Amendment_executed.txt,Renewal Amendment,RENEWAL,2025-05-09,executed_final,data_room,2025-05-21,5b6e23d9d600eef1,intake row
marketing/archive/invoice_backup_198.txt,Invoice Backup 198,PROCUREMENT,2025-04,working_copy,paralegal,2025-05-21,,bulk export
drafts/renewal_amendment_auto_renew_redraft.txt,Renewal Amendment,RENEWAL,2025-05-09,working_copy,paralegal,2025-05-20,e8a450064796ca7f,status copied from filename
vendor_room/security/Security_Addendum_counterpart_final_2024-11-18.txt,Security Addendum,SECURITY,2024-11-18,executed_final,data_room,2025-05-21,fbe44ff84384208a,intake row
superseded/msa_assignment_markup_2024-10-19.txt,Master Services Agreement,MSA,2024-11-18,received,paralegal,2025-05-20,56cd8cd66bf041dc,possible duplicate
paralegal_bulk_export/misc/template_124.txt,Template 124,SECURITY,2025-03,final_candidate,finance,2025-05-22,,bulk export
paralegal_bulk_export/misc/template_216.txt,Template 216,MISC,2025-04,working_copy,project_team,2025-05-20,,bulk export
