TicketID,Sprint,Title,CurrentStatus,BlockerType,ResolutionState,OwnerKey,Severity,LastUpdated,RiskReason
PLAT-1801,june-platform,Update account settings empty state,done,,closed,qa-infra,P3,2026-06-02T09:15:00Z,
PLAT-1802,june-platform,Normalize retry header naming,done,,closed,frontend-platform,P3,2026-06-03T10:15:00Z,
PLAT-1803,may-platform,Document search pagination behavior,done,,closed,release-ops,P3,2026-06-01T11:15:00Z,
PLAT-1804,june-platform,Add mobile breakpoint for audit table,done,,closed,product-ops,P3,2026-06-02T12:15:00Z,
PLAT-1805,june-platform,Wire telemetry sample rate config,in-progress,,open,db-reliability,P3,2026-06-03T13:15:00Z,
PLAT-1806,june-platform,Clean up deprecated metrics labels,done,,closed,backend-platform,P3,2026-06-01T14:15:00Z,
PLAT-1807,may-platform,Add tooltip for release filter,done,,closed,qa-infra,P3,2026-06-02T15:15:00Z,
PLAT-1808,june-platform,Update stale schema fixture,done,,closed,frontend-platform,P3,2026-06-03T16:15:00Z,
PLAT-1809,june-platform,Improve queue drain logging,done,,closed,release-ops,P3,2026-06-01T17:15:00Z,
PLAT-1810,june-platform,Refresh dashboard loading state,in-progress,,open,product-ops,P3,2026-06-02T08:15:00Z,
PLAT-1811,may-platform,Update account settings empty state,done,,closed,db-reliability,P3,2026-06-03T09:15:00Z,
PLAT-1812,june-platform,Normalize retry header naming,done,,closed,backend-platform,P3,2026-06-01T10:15:00Z,
PLAT-1813,june-platform,Document search pagination behavior,done,,closed,qa-infra,P3,2026-06-02T11:15:00Z,
PLAT-1814,june-platform,Add mobile breakpoint for audit table,done,dependency-signoff,resolved,backend-platform,P2,2026-06-02T11:10:00Z,Resolved during earlier triage pass
PLAT-1815,june-platform,Wire telemetry sample rate config,in-progress,,open,release-ops,P3,2026-06-01T13:15:00Z,
PLAT-1816,june-platform,Clean up deprecated metrics labels,done,,closed,product-ops,P3,2026-06-02T14:15:00Z,
PLAT-1817,june-platform,Add tooltip for release filter,done,,closed,db-reliability,P3,2026-06-03T15:15:00Z,
PLAT-1818,june-platform,Update stale schema fixture,done,,closed,backend-platform,P3,2026-06-01T16:15:00Z,
PLAT-1819,june-platform,Improve queue drain logging,done,,closed,qa-infra,P3,2026-06-02T17:15:00Z,
PLAT-1820,june-platform,Refresh dashboard loading state,in-progress,,open,frontend-platform,P3,2026-06-03T08:15:00Z,
PLAT-1821,june-platform,Update account settings empty state,done,,closed,release-ops,P3,2026-06-01T09:15:00Z,
PLAT-1822,june-platform,Normalize retry header naming,done,qa-environment,resolved,qa-infra,P2,2026-06-02T11:10:00Z,Resolved during earlier triage pass
PLAT-1823,june-platform,Document search pagination behavior,done,,closed,db-reliability,P3,2026-06-03T11:15:00Z,
PLAT-1824,june-platform,Add mobile breakpoint for audit table,done,,closed,backend-platform,P3,2026-06-01T12:15:00Z,
PLAT-1825,june-platform,Wire telemetry sample rate config,in-progress,,open,qa-infra,P3,2026-06-02T13:15:00Z,
PLAT-1826,june-platform,Clean up deprecated metrics labels,done,,closed,frontend-platform,P3,2026-06-03T14:15:00Z,
PLAT-1827,june-platform,Add tooltip for release filter,done,,closed,release-ops,P3,2026-06-01T15:15:00Z,
PLAT-1828,june-platform,Update stale schema fixture,done,,closed,product-ops,P3,2026-06-02T16:15:00Z,
PLAT-1829,june-platform,Improve queue drain logging,done,,closed,db-reliability,P3,2026-06-03T17:15:00Z,
PLAT-1830,june-platform,Refresh dashboard loading state,in-progress,,open,backend-platform,P3,2026-06-01T08:15:00Z,
PLAT-1831,june-platform,Update account settings empty state,done,,closed,qa-infra,P3,2026-06-02T09:15:00Z,
PLAT-1832,june-platform,Normalize retry header naming,done,,closed,frontend-platform,P3,2026-06-03T10:15:00Z,
PLAT-1833,june-platform,Document search pagination behavior,done,,closed,release-ops,P3,2026-06-01T11:15:00Z,
PLAT-1834,june-platform,Add mobile breakpoint for audit table,done,,closed,product-ops,P3,2026-06-02T12:15:00Z,
PLAT-1835,june-platform,Wire telemetry sample rate config,done,security-copy,resolved,security-review,P2,2026-06-02T11:10:00Z,Resolved during earlier triage pass
PLAT-1836,june-platform,Clean up deprecated metrics labels,done,,closed,backend-platform,P3,2026-06-01T14:15:00Z,
PLAT-1837,june-platform,Add tooltip for release filter,done,,closed,qa-infra,P3,2026-06-02T15:15:00Z,
PLAT-1838,june-platform,Update stale schema fixture,done,,closed,frontend-platform,P3,2026-06-03T16:15:00Z,
PLAT-1839,june-platform,Improve queue drain logging,done,,closed,release-ops,P3,2026-06-01T17:15:00Z,
PLAT-1840,june-platform,Refresh dashboard loading state,in-progress,,open,product-ops,P3,2026-06-02T08:15:00Z,
PLAT-1841,june-platform,Update account settings empty state,done,,closed,db-reliability,P3,2026-06-03T09:15:00Z,
PLAT-1842,june-platform,Finalize dependency API contract for fulfillment handoff,blocked,dependency-signoff,open,backend-platform,P1,2026-06-02T16:30:00Z,Partner API contract sign-off still pending
PLAT-1843,june-platform,Document search pagination behavior,done,,closed,qa-infra,P3,2026-06-02T11:15:00Z,
PLAT-1844,june-platform,Add mobile breakpoint for audit table,done,,closed,frontend-platform,P3,2026-06-03T12:15:00Z,
PLAT-1845,june-platform,Wire telemetry sample rate config,in-progress,,open,release-ops,P3,2026-06-01T13:15:00Z,
PLAT-1846,june-platform,Clean up deprecated metrics labels,done,,closed,product-ops,P3,2026-06-02T14:15:00Z,
PLAT-1847,june-platform,Add tooltip for release filter,done,,closed,db-reliability,P3,2026-06-03T15:15:00Z,
PLAT-1848,june-platform,Update stale schema fixture,done,,closed,backend-platform,P3,2026-06-01T16:15:00Z,
PLAT-1849,june-platform,Improve queue drain logging,done,,closed,qa-infra,P3,2026-06-02T17:15:00Z,
PLAT-1850,june-platform,Refresh dashboard loading state,in-progress,,open,frontend-platform,P3,2026-06-03T08:15:00Z,
