question,response_option,count,denominator,notes
My child read more often at home this spring,Strongly agree,21,64,Family survey respondents only
My child read more often at home this spring,Agree,25,64,Family survey respondents only
My child read more often at home this spring,Neutral,12,64,Family survey respondents only
My child read more often at home this spring,Disagree,5,64,Family survey respondents only
My child read more often at home this spring,Strongly disagree,1,64,Family survey respondents only
I felt welcome at ReadForward family nights,Strongly agree,28,64,Family survey respondents only
I felt welcome at ReadForward family nights,Agree,23,64,Family survey respondents only
I felt welcome at ReadForward family nights,Neutral,10,64,Family survey respondents only
I felt welcome at ReadForward family nights,Disagree,2,64,Family survey respondents only
I felt welcome at ReadForward family nights,Strongly disagree,1,64,Family survey respondents only
My child is more confident reading aloud,Strongly agree,18,64,Family survey respondents only
My child is more confident reading aloud,Agree,27,64,Family survey respondents only
My child is more confident reading aloud,Neutral,14,64,Family survey respondents only
My child is more confident reading aloud,Disagree,4,64,Family survey respondents only
My child is more confident reading aloud,Strongly disagree,1,64,Family survey respondents only
